BJD Phase RV RVerr
55816.469627 0.82074   0.802 0.018 
55816.470920 0.82098   0.813 0.018 
55816.472221 0.82122   0.824 0.018 
55817.510667 0.01474 -21.125 0.018 
55817.511961 0.01498 -21.202 0.018 
55818.494094 0.19800 -31.354 0.018 
55818.495384 0.19824 -31.362 0.018 
55818.496675 0.19848 -31.342 0.018 
55819.497269 0.38494 -21.989 0.018 
55819.498564 0.38518 -21.984 0.018 
55819.499853 0.38542 -21.967 0.018 
55896.402782 0.71621  -5.109 0.018 
55896.403724 0.71638  -5.114 0.018 
55896.404665 0.71656  -5.081 0.018 
55897.342052 0.89124   3.901 0.018 
55897.342999 0.89141   3.891 0.018 
55897.343940 0.89159   3.903 0.018 
55898.350716 0.07920 -33.362 0.018 
55898.351690 0.07938 -33.371 0.018 
55898.352660 0.07956 -33.391 0.018 
55899.364902 0.26819 -28.141 0.018 
55899.365853 0.26837 -28.126 0.018 
55899.366806 0.26855 -28.132 0.018 
55900.387219 0.45870 -17.947 0.018 
55900.388863 0.45901 -17.913 0.018 
55900.390849 0.45938 -17.903 0.018 
55901.428094 0.65267  -7.847 0.018 
55901.429739 0.65297  -7.814 0.018 
55901.431901 0.65338  -7.787 0.018 
56275.326763 0.32833 -25.419 0.018 
56275.379256 0.33811 -24.895 0.018 
56275.434976 0.34849 -24.348 0.018 
56276.397927 0.52794 -14.634 0.018 
56276.448956 0.53745 -14.146 0.018 
56277.328761 0.70140  -6.181 0.018 
56277.422358 0.71884  -5.402 0.018 
56277.456020 0.72511  -5.120 0.018 
56278.342120 0.89023   3.466 0.018 
56278.380041 0.89730   3.569 0.018 
56278.438298 0.90816   3.480 0.018 
56279.325143 0.07342 -33.214 0.018 
56279.360392 0.07999 -33.691 0.018 
56279.407130 0.08870 -34.127 0.018 
56280.321642 0.25912 -28.931 0.018 
56280.360149 0.26629 -28.569 0.018 
56280.394328 0.27266 -28.273 0.018 
56282.333413 0.63401  -9.217 0.018 
56282.416577 0.64951  -8.487 0.018 
56283.323357 0.81848   0.113 0.018 
56283.385013 0.82997   0.816 0.018 
56283.420334 0.83655   1.176 0.018 
56284.324608 0.00507 -18.130 0.018 
56284.373535 0.01418 -21.160 0.018 
56284.403961 0.01985 -22.905 0.018 
56545.347457 0.64642  -8.873 0.018 
56545.391089 0.65455  -8.493 0.018 
56545.454900 0.66644  -7.993 0.018 
56545.549423 0.68406  -7.210 0.018 
56545.672022 0.70690  -6.206 0.018 
56545.758922 0.72310  -5.491 0.018 
